source_system,channel_raw,channel_normalized,channel_group,is_active
"minpakuin","Booking.com","Booking.com","OTA","true"
"minpakuin","Agoda","Agoda","OTA","true"
"minpakuin","楽天トラベル","楽天トラベル","OTA","true"
"minpakuin","Direct In S4","Direct In S4","直販","true"
"minpakuin","じゃらんnet","じゃらんnet","OTA","true"
"minpakuin","Expedia","Expedia","OTA","true"
"minpakuin","一休.com","一休.com","OTA","true"
"minpakuin","電話予約","電話予約","電話","true"
"minpakuin","Trip.com","Trip.com","OTA","true"
"minpakuin","Trip.com Group(new)","Trip.com","OTA","true"
"minpakuin","DYNA IBE","DYNA IBE","直販","true"
"minpakuin","直予約","直予約","直販","true"
"minpakuin","Airbnb","Airbnb","OTA","true"
"minpakuin","","不明","その他","true"
"minpakuin","るるぶトラベル","るるぶトラベル","OTA","true"
"minpakuin","Rakuten","Rakuten","OTA","true"
"minpakuin","ちゅらとく・温泉ぱらだいす","ちゅらとく・温泉ぱらだいす","OTA","true"
"minpakuin","ちゅらとく","ちゅらとく","OTA","true"
"minpakuin","一休com","一休com","OTA","true"
"minpakuin","skyticket","skyticket","OTA","true"
"minpakuin","楽天グローバルプラットフォーム","楽天グローバルプラットフォーム","OTA","true"
"minpakuin","OneTwoSmileHOTEL","OneTwoSmileHOTEL","その他","true"
"minpakuin","WBFTOS","WBFTOS","OTA","true"
"minpakuin","tripla","tripla","直販","true"
"minpakuin","沖縄ツーリスト株式会","沖縄ツーリスト株式会","OTA","true"
"minpakuin","JTB現地払_るるぶ","JTB現地払_るるぶ","OTA","true"
"minpakuin","RakutenOyado","RakutenOyado","OTA","true"
"minpakuin","JTB疎通確認","JTB疎通確認","その他","true"
"minpakuin","株式会社SEEC","株式会社SEEC","その他","true"
"minpakuin","その他","その他","その他","true"
"minpakuin","メトロブッキング","メトロブッキング","OTA","true"
"minpakuin","自社HP","自社HP","直販","true"
"minpakuin","WelBox","WelBox","その他","true"
